comp_id,العام,الفترة,المبيعات,تكاليف المبيعات,اجمالي الدخل,دخل العمليات,صافي الدخل,ربح السهم الصافي,عدد الأسهم,رأس المال
45,2007,الأول,,,,994.63,642.88,0.43,1500,15000
45,2007,الثاني,,,,1108.11,724.88,0.48,1500,15000
45,2007,الثالث,,,,972.82,607.88,0.41,1500,15000
45,2007,الرابع,,,,880.7,485.56,0.32,1500,15000
45,2007,سنة,,,,3956.26,2461.2,1.64,,
45,2008,الأول,,,,1045.61,672.19,0.45,1500,15000
45,2008,الثاني,,,,1179.14,752.16,0.5,1500,15000
45,2008,الثالث,,,,1042.82,627.72,0.42,1500,15000
45,2008,الرابع,,,,867.62,434.06,0.29,1500,15000
45,2008,سنة,,,,4135.19,2486.13,1.66,,
45,2009,الأول,,,,1157.03,694.83,0.46,1500,15000
45,2009,الثاني,,,,1211.76,745.87,0.5,1500,15000
45,2009,الثالث,,,,1067.33,633.49,0.42,1500,15000
45,2009,الرابع,,,,1057.35,295.82,0.2,1500,15000
45,2009,سنة,,,,4493.47,2370.01,1.58,,
45,2010,الأول,,,,1124.7,633.68,0.42,1500,15000
45,2010,الثاني,,,,1114.87,629.45,0.42,1500,15000
45,2010,الثالث,,,,1129.5,346.5,0.23,1500,15000
45,2010,الرابع,,,,1134.71,301.46,0.2,1500,15000
45,2010,سنة,,,,4503.78,1911.09,1.27,,
45,2011,الأول,,,,1114.05,587.4,0.39,1500,15000
45,2011,الثاني,,,,1158.21,696.68,0.46,1500,15000
45,2011,الثالث,,,,1146.07,519.18,0.35,1500,15000
45,2011,الرابع,,,,1123.14,367.87,0.25,1500,15000
45,2011,سنة,,,,4541.47,2171.13,1.45,,
45,2012,الأول,,,,1195.69,655.51,0.44,1500,15000
45,2012,الثاني,,,,1255.06,717.98,0.48,1500,15000
45,2012,الثالث,,,,1187.74,572.7,0.38,1500,15000
45,2012,الرابع,,,,1118.34,424.98,0.28,1500,15000
45,2012,سنة,,,,4756.83,2371.17,1.58,,
45,2013,الأول,,,,1268.29,678.7,0.45,1500,15000
45,2013,الثاني,,,,1263.39,717.98,0.48,1500,15000
45,2013,الثالث,,,,1264.79,589.2,0.39,1500,15000
45,2013,الرابع,,,,1313.08,536.63,0.36,1500,15000
45,2013,سنة,,,,5109.55,2522.51,1.68,,
45,2014,الأول,,,,1308.77,712.86,0.48,1500,15000
45,2014,الثاني,,,,1385.51,785.44,0.52,1500,15000
45,2014,الثالث,,,,1365.49,747.93,0.5,1500,15000
45,2014,الرابع,,,,1447.8,628.82,0.42,1500,15000
45,2014,سنة,,,,5507.57,2875.05,1.92,,
45,2015,الأول,,,,1503.23,770.55,0.51,1500,15000
45,2015,الثاني,,,,1502.33,835.31,0.56,1500,15000
45,2015,الثالث,,,,1470.28,764.2,0.51,1500,15000
45,2015,الرابع,,,,1305.7,594.35,0.4,1500,15000
45,2015,سنة,,,,5781.54,2964.41,1.98,,
45,2016,الأول,,,,1447.29,749.19,0.5,1500,15000
45,2016,الثاني,,,,1517.6,817.98,0.55,1500,15000
45,2016,الثالث,,,,1493.97,721.67,0.48,1500,15000
45,2016,الرابع,,,,1395.27,565.06,0.38,1500,15000
45,2016,سنة,,,,5854.13,2853.9,1.91,,
45,2017,الأول,,,,1480.58,768.05,0.51,1500,15000
45,2017,الثاني,,,,1635.96,849.04,0.57,1500,15000
45,2017,الثالث,,,,1676.75,775.46,0.52,1500,15000
45,2017,الرابع,,,,1584.65,634.43,0.42,1500,15000
45,2017,سنة,,,,6377.94,3026.98,2.02,,
45,2018,الأول,,,,1533.16,664.38,0.44,1500,15000
45,2018,الثاني,,,,1646.25,747.22,0.5,1500,15000
45,2018,الثالث,,,,1683.93,731.11,0.49,1500,15000
45,2018,الرابع,,,,1671.49,1826.3,1.22,1500,15000
45,2018,سنة,,,,6534.83,3969.01,2.65,,
45,2019,الأول,,,,1633.15,778.97,0.52,1500,15000
45,2019,الثاني,,,,1733.94,894.24,0.6,1500,15000
45,2019,الثالث,,,,1736.71,834.76,0.56,1500,15000
45,2019,الرابع,,,,1629.03,515.26,0.34,1500,15000
45,2019,سنة,,,,6732.83,3023.23,2.02,,
45,2020,الأول,,,,1489.61,643.79,0.43,1500,15000
45,2020,الثاني,,,,1469.73,485.95,0.32,1500,15000
45,2020,الثالث,,,,1463.83,668.6,0.45,1500,15000
45,2020,الرابع,,,,1401.07,273.87,0.18,1500,15000
45,2020,سنة,,,,5824.24,2072.21,1.38,,
45,2021,الأول,,,,1556.36,582.23,0.39,1500,15000
45,2021,الثاني,,,,1381.21,472.76,0.32,1500,15000
45,2021,الثالث,,,,1479.23,665.35,0.44,1500,15000
45,2021,الرابع,,,,1347.72,456.35,0.3,1500,15000
45,2021,سنة,,,,5764.52,2176.69,1.45,,
45,2022,الأول,,,,1454.53,650.72,0.43,1500,15000
45,2022,الثاني,,,,1673.62,707.69,0.47,1500,15000
45,2022,الثالث,,,,1815.36,921.11,0.61,1500,15000
45,2022,الرابع,,,,1918.5,790.47,0.53,1500,15000
45,2022,سنة,,,,6862.01,3069.99,2.04,,
4067,2020,الثالث,262.07,93.73,168.34,127.42,132.96,1.11,120,1200
4067,2020,الرابع,382.14,79.46,302.68,226.01,153.59,1.28,120,1200
4067,2020,سنة,644.21,173.19,471.02,353.43,286.55,2.39,,
4067,2021,الأول,332.37,92.27,240.1,194.62,179.64,1.5,120,1200
4067,2021,الثاني,313.54,82.35,231.19,175.87,181.07,1.51,120,1200
4067,2021,الثالث,262.64,84.35,178.29,129.29,115.19,0.96,120,1200
4067,2021,الرابع,257.54,85.37,172.17,110.85,110.47,0.92,120,1200
4067,2021,سنة,1166.09,344.34,821.75,610.63,586.37,4.89,,
4067,2022,الأول,293.95,87.7,206.25,153.78,140.64,1.17,120,1200
4067,2022,الثاني,298.11,101.35,196.76,137.56,137.67,1.15,120,1200
4067,2022,الثالث,257.18,111.31,145.87,92.88,89.12,0.74,120,1200
4067,2022,سنة,849.24,300.36,548.88,384.22,367.43,3.06,,
43,2005,الثاني,,,,1921.57,1336.66,0.33,4000,40000
43,2005,الثالث,,,,2053.12,1621.32,0.41,4000,40000
43,2005,الرابع,,,,2220.34,1739.72,0.43,4000,40000
43,2005,سنة,,,,6195.03,4697.7,1.17,,
43,2006,الأول,,,,2273.43,1754.46,0.44,4000,40000
43,2006,الثاني,,,,2324.94,1776.2,0.44,4000,40000
43,2006,الثالث,,,,2218.1,1691.67,0.42,4000,40000
43,2006,الرابع,,,,2693.42,2079.56,0.52,4000,40000
43,2006,سنة,,,,9509.89,7301.89,1.82,,
43,2007,الأول,,,,2208.07,1569.41,0.39,4000,40000
43,2007,الثاني,,,,2305.67,1610.22,0.4,4000,40000
43,2007,الثالث,,,,2434.28,1694.28,0.42,4000,40000
43,2007,الرابع,,,,2373.08,1575.75,0.39,4000,40000
43,2007,سنة,,,,9321.1,6449.66,1.6,,
43,2008,الأول,,,,2484.56,1601.84,0.4,4000,40000
43,2008,الثاني,,,,2716.35,1741.85,0.44,4000,40000
43,2008,الثالث,,,,2705.02,1757.05,0.44,4000,40000
43,2008,الرابع,,,,2669.34,1423.87,0.36,4000,40000
43,2008,سنة,,,,10575.27,6524.61,1.64,,
43,2009,الأول,,,,2739.86,1731.67,0.43,4000,40000
43,2009,الثاني,,,,2901.43,1771.06,0.44,4000,40000
43,2009,الثالث,,,,3114.11,1794.91,0.45,4000,40000
43,2009,الرابع,,,,2749.89,1469.59,0.37,4000,40000
43,2009,سنة,,,,11505.29,6767.23,1.69,,
43,2010,الأول,,,,2832.16,1684.1,0.42,4000,40000
43,2010,الثاني,,,,2998.78,1778.61,0.44,4000,40000
43,2010,الثالث,,,,2966.13,1639.99,0.41,4000,40000
43,2010,الرابع,,,,2864.07,1668.13,0.42,4000,40000
43,2010,سنة,,,,11661.14,6770.83,1.69,,
43,2011,الأول,,,,2936.76,1700.29,0.43,4000,40000
43,2011,الثاني,,,,3050.55,1843.06,0.46,4000,40000
